Question,Answer
215 + 418 - 173 - 129 + 663 + 698 - 227 + 610 - 158 - 492 - 724 + 807 - 256 + 433 + 734 + 690,3109
495 + 484 + 487 - 142 + 678 + 815 - 685 + 515 - 151 + 847 - 401 - 568 + 928 - 199 - 350 - 410,2343
243 - 412 - 653 - 907 + 857 - 243 + 446 - 149 - 726 + 134 + 332 + 614 + 407 - 330 + 741 + 204,558
237 - 872 - 262 - 228 + 146 + 785 - 274 + 828 + 634 - 131 - 107 - 447 - 395 + 512 - 806 + 181,-199
- 892 + 841 + 576 + 898 + 969 + 914 - 912 - 164 - 771 + 384 + 816 + 522 + 545 - 801 + 492 + 696,4113
553 + 749 + 116 + 834 - 882 - 354 - 956 + 600 - 688 + 246 - 568 + 533 + 615 - 845 - 884 - 755,-1686
- 295 + 710 + 403 + 192 + 106 - 290 + 819 + 417 - 454 - 554 + 623 - 821 + 897 + 943 + 482 + 941,4119
- 120 + 316 - 408 + 169 - 628 - 288 + 929 + 899 - 460 + 483 + 300 + 139 + 492 + 395 - 835 + 650,2033
- 626 - 786 + 623 - 663 + 921 - 510 - 821 + 346 + 354 - 910 - 633 - 982 - 566 - 617 + 110 - 529,-5289
620 - 454 + 487 - 956 + 656 + 742 + 791 - 152 - 945 - 454 - 124 + 275 + 707 - 821 + 132 + 830,1334
210 + 503 + 765 - 110 + 122 + 377 + 823 + 198 + 416 + 127 + 491 + 923 - 628 + 520 - 959 + 554,4332
- 386 - 919 + 184 + 105 + 444 + 696 + 678 + 865 - 849 - 163 - 654 + 321 + 178 + 179 + 181 - 455,405
807 - 748 - 844 + 824 + 114 - 763 - 776 + 779 + 895 + 618 + 125 + 747 - 728 + 771 + 108 - 930,999
991 - 814 - 939 + 295 - 803 + 686 + 634 + 811 + 728 - 645 + 706 + 679 + 972 + 543 - 522 - 572,2750
- 337 + 163 - 845 + 915 + 433 + 598 + 959 + 176 - 200 + 876 - 344 + 705 - 204 - 854 - 904 + 402,1539
- 365 + 203 - 642 - 418 + 446 - 131 - 665 - 355 - 837 + 320 + 314 + 537 - 400 - 318 + 798 + 588,-925
666 + 605 - 943 + 306 - 464 + 322 + 326 - 314 + 521 - 354 - 794 + 300 - 853 - 544 + 227 + 651,-342
- 920 + 170 - 123 + 106 - 665 - 757 + 398 + 498 - 297 + 652 + 848 - 443 - 402 - 394 - 461 - 764,-2554
- 622 - 111 + 923 - 659 - 416 - 326 + 246 - 808 + 678 - 980 + 833 + 187 - 743 - 475 + 559 + 375,-1339
368 + 540 + 873 - 211 + 499 + 917 - 432 + 221 + 106 - 710 - 418 + 753 - 951 + 599 - 449 - 173,1532
- 113 - 889 - 383 - 875 - 803 + 508 + 775 + 226 + 165 + 273 - 758 - 162 + 912 + 355 + 870 - 575,-474
953 - 881 + 500 + 644 + 171 - 762 + 622 - 912 + 139 + 776 + 625 - 857 + 844 - 792 + 243 + 662,1975
- 524 + 631 + 563 - 190 + 844 - 190 + 721 + 429 - 502 - 477 - 501 - 452 + 178 - 274 + 728 - 177,807
- 374 + 222 - 976 + 639 + 812 + 963 - 862 + 438 + 766 - 711 - 633 + 251 - 279 - 333 - 870 - 922,-1869
- 901 - 704 + 626 + 239 - 361 - 621 + 958 + 373 - 806 - 511 - 453 + 351 - 128 - 538 - 845 - 855,-4176
741 - 831 + 391 + 314 + 697 + 694 - 272 + 952 - 445 - 468 - 396 - 969 + 418 - 219 + 205 + 276,1088
477 - 463 + 766 - 980 + 839 + 591 - 451 - 950 + 262 + 345 + 525 + 509 - 110 + 504 + 868 - 339,2393
- 832 + 568 + 587 - 955 - 110 + 786 + 949 + 979 - 116 - 693 + 272 - 835 + 657 + 699 - 148 + 810,2618
- 425 - 534 - 417 - 354 - 332 - 314 - 987 - 225 - 131 - 394 + 135 - 299 + 708 - 900 + 297 - 506,-4678
281 - 643 + 722 + 745 - 378 + 577 - 252 + 929 - 143 - 320 + 337 - 723 + 119 + 455 - 473 - 218,1015
- 572 - 592 + 500 + 904 - 346 + 613 - 996 + 112 + 501 - 384 + 672 + 110 + 556 - 342 - 466 + 220,490
783 + 175 + 264 - 298 - 218 + 502 - 876 + 131 + 568 - 466 - 880 + 616 - 142 - 263 + 834 + 731,1461
827 - 569 + 266 + 710 - 370 - 849 - 561 + 460 - 130 - 165 + 895 - 742 + 460 + 706 + 186 + 891,2015
- 610 + 424 - 631 - 439 - 819 - 192 + 896 + 836 + 841 + 361 - 516 + 595 + 505 - 999 + 890 + 332,1474
- 250 - 496 - 505 - 882 + 279 + 680 + 343 - 736 - 787 - 725 - 438 - 771 + 992 - 292 - 813 - 760,-5161
334 - 582 + 989 - 805 - 898 + 682 - 818 + 696 - 169 - 816 - 153 + 868 - 604 + 996 + 816 - 323,213
293 + 503 - 347 - 265 + 766 + 309 + 922 - 873 - 812 - 992 - 410 - 204 - 721 - 750 + 604 + 218,-1759
991 - 315 + 407 + 521 - 410 + 157 + 177 + 363 - 999 + 779 - 693 + 995 + 601 + 773 - 398 + 877,3826
101 + 585 + 486 - 302 - 722 + 536 - 901 - 457 + 194 - 470 + 972 + 401 - 258 - 804 + 233 + 131,-275
413 - 476 + 312 + 682 - 247 + 641 - 572 + 847 - 929 + 923 + 893 + 556 + 757 + 707 + 227 + 873,5607
350 - 853 + 773 - 791 - 200 - 322 + 578 + 231 + 396 - 933 + 795 + 622 - 586 - 852 - 656 + 884,-564
- 216 - 354 - 943 - 754 + 579 + 237 + 731 + 511 + 640 + 132 - 217 + 249 - 923 - 941 - 561 - 579,-2409
- 527 + 343 - 372 + 956 + 361 + 372 + 859 + 368 + 552 + 357 + 340 + 380 - 936 + 912 - 465 + 958,4458
- 135 + 811 - 445 - 608 - 832 - 721 + 241 + 242 + 338 - 558 - 218 - 933 - 114 + 706 + 131 - 885,-2980
- 901 - 748 - 820 - 960 - 691 + 616 + 114 - 396 + 398 + 921 + 237 - 324 - 531 - 263 - 844 + 644,-3548
- 188 - 477 - 980 - 858 + 810 + 354 - 834 - 224 - 223 + 260 - 450 - 463 + 732 - 722 - 101 - 124,-3488
196 - 544 - 559 - 746 + 430 - 519 - 500 - 312 - 394 + 553 + 445 + 717 + 798 - 831 - 180 - 546,-1992
- 351 - 824 + 147 + 832 + 470 - 947 + 312 + 483 + 362 + 490 - 134 + 821 + 266 - 743 - 250 - 421,513
175 - 380 - 342 - 899 + 264 + 678 + 888 + 399 + 621 + 639 + 787 + 677 - 472 - 909 - 875 + 752,2003
- 592 - 284 + 769 - 379 + 556 - 530 - 365 - 734 + 303 + 106 + 885 - 241 + 179 - 478 + 641 + 410,246
- 915 - 771 - 514 - 489 - 600 + 109 + 920 - 395 - 460 + 949 - 429 + 187 - 259 - 478 + 997 - 598,-2746
- 802 - 937 + 514 + 951 - 523 - 796 - 615 + 976 + 372 + 242 + 662 - 261 - 216 - 883 - 966 - 917,-3199
857 + 216 - 749 - 523 - 997 - 480 + 519 - 770 - 352 + 438 - 608 - 923 + 218 + 758 - 956 - 887,-4239
- 159 - 281 - 131 + 469 - 850 - 123 + 647 + 452 + 838 + 502 - 475 - 158 - 693 + 728 - 767 - 338,-339
136 - 454 - 886 - 986 + 521 + 417 + 835 + 369 + 576 - 326 + 381 + 278 - 985 + 341 + 913 + 545,1675
- 283 - 859 + 633 + 951 + 970 - 604 - 505 - 636 - 571 - 964 - 963 + 852 + 956 + 482 + 267 + 669,395
643 - 964 - 522 + 102 - 496 - 850 - 789 - 201 + 330 + 807 + 496 - 884 - 622 - 693 - 151 - 235,-4029
- 230 - 516 - 705 - 107 + 647 - 890 + 834 + 290 + 927 - 164 - 297 + 730 - 788 - 342 - 221 - 714,-1546
- 802 + 621 + 412 + 249 - 527 - 602 - 445 - 201 - 802 - 811 - 868 - 729 + 393 - 745 + 691 - 681,-4847
553 - 256 + 722 + 190 - 788 + 654 + 990 - 801 + 212 - 331 + 618 + 824 - 395 + 592 - 597 + 479,2666
- 675 - 538 - 886 + 530 + 630 + 158 - 290 + 338 - 180 - 184 - 531 + 534 - 606 - 770 + 898 - 169,-1741
- 377 - 542 + 768 - 939 + 673 - 419 + 200 + 954 + 103 - 753 - 169 + 184 - 475 + 990 - 302 + 541,437
- 894 + 538 - 735 + 199 - 279 + 453 + 909 - 839 - 608 + 155 - 348 - 178 + 917 + 215 + 731 - 824,-588
453 + 794 - 458 + 610 - 871 + 794 + 793 + 836 - 525 - 985 - 297 - 838 + 357 + 755 + 931 - 466,1883
- 516 - 586 + 877 + 201 + 409 + 421 - 424 - 726 - 426 - 282 - 391 - 102 - 712 + 403 + 444 - 336,-1746
292 + 989 - 725 - 584 + 765 - 337 - 703 - 330 + 247 + 820 + 469 + 539 - 880 - 189 + 621 + 504,1498
160 - 722 - 925 + 139 - 284 - 567 - 791 + 495 - 744 + 515 - 362 + 118 - 459 - 497 + 648 - 243,-3519
496 - 127 + 482 - 741 + 785 - 248 - 495 + 585 + 972 - 908 - 552 - 631 + 875 + 216 - 511 - 653,-455
770 + 597 - 764 + 504 + 360 - 821 - 673 - 184 - 182 - 154 - 321 - 707 + 506 - 912 + 816 + 852,-313
- 684 - 904 - 989 - 991 + 347 - 893 + 531 - 789 - 516 + 820 - 503 - 407 + 174 - 261 + 942 + 666,-3457
- 756 + 161 + 698 + 672 + 791 - 114 - 775 + 476 + 153 + 375 - 899 - 678 - 747 + 948 - 226 - 404,-325
- 552 - 178 + 277 - 568 + 581 - 826 + 858 - 741 + 535 - 577 + 654 + 712 + 108 + 781 - 718 - 747,-401
- 710 - 129 + 542 - 902 - 784 + 729 + 174 + 735 + 124 - 771 - 726 - 894 - 630 + 868 + 807 + 519,-1048
462 + 614 - 138 + 736 + 415 - 236 - 264 + 516 - 534 + 738 - 184 + 449 - 121 - 309 - 197 - 108,1839
471 - 958 - 220 + 968 - 846 + 745 - 935 - 675 - 997 - 422 + 634 - 504 + 464 + 375 - 349 - 759,-3008
986 - 923 + 554 - 372 - 585 - 628 + 807 - 748 - 300 - 478 - 545 - 107 + 675 + 444 - 658 + 740,-1138
- 502 - 780 + 993 + 765 + 103 - 865 + 295 + 481 + 793 - 450 - 336 - 358 - 191 + 291 + 347 - 333,253
- 498 + 609 - 613 - 181 + 869 - 414 + 739 + 194 - 541 + 822 + 303 + 423 - 209 + 832 + 661 + 503,3499
